ID,indoors,created_at,session_id,device_id,room,floor,building,connected_ap,rssi_strength,is_center,gps_alt,gps_longitude,gps_latitude,gps_vertical_accuracy,gps_horizontal_accuracy,gps_course,gps_speed,baro_sea_level,baro_pressure,baro_relative_altitude,env_context,env_mean_bldg_floors,env_activity,city_name,country_name,magnet_x_mt,magnet_y_mt,magnet_z_mt,magnet_total
1103,1,2021-02-06 15:06:10,2021-02-06 15:05:48,zeroltevzw-SM-G925V,607,6,Lewisohn,d8:c7:c8:42:7f:d1,-59,0,46,-73,40,-1,12,0,0,1017,1007,82,GS,0-2,activity_still,New York,United States,10,5,-13,18,
1104,1,2021-02-06 15:06:13,2021-02-06 15:05:48,zeroltevzw-SM-G925V,607,6,Lewisohn,d8:c7:c8:42:7f:d1,-62,0,46,-73,40,-1,12,0,0,1017,1007,82,GS,0-2,activity_still,New York,United States,5,-7,-23,25,
1105,1,2021-02-06 15:06:14,2021-02-06 15:05:48,zeroltevzw-SM-G925V,607,6,Lewisohn,d8:c7:c8:42:7f:d1,-61,0,46,-73,40,-1,12,0,0,1017,1007,82,GS,0-2,activity_still,New York,United States,5,-4,-26,27,
1106,1,2021-02-06 15:06:15,2021-02-06 15:05:48,zeroltevzw-SM-G925V,607,6,Lewisohn,d8:c7:c8:42:7f:d1,-59,0,46,-73,40,-1,12,0,0,1017,1007,82,GS,0-2,activity_still,New York,United States,10,-7,-25,28,
1107,1,2021-02-06 15:06:16,2021-02-06 15:05:48,zeroltevzw-SM-G925V,607,6,Lewisohn,d8:c7:c8:42:7f:d1,-61,0,46,-73,40,-1,12,0,0,1017,1007,82,GS,0-2,activity_still,New York,United States,9,-22,-20,31,
1108,1,2021-02-06 15:06:17,2021-02-06 15:05:48,zeroltevzw-SM-G925V,607,6,Lewisohn,d8:c7:c8:42:7f:d1,-58,0,46,-73,40,-1,12,0,0,1017,1007,82,GS,0-2,activity_still,New York,United States,1,-33,-14,36,
1109,1,2021-02-06 15:06:18,2021-02-06 15:05:48,zeroltevzw-SM-G925V,607,6,Lewisohn,d8:c7:c8:42:7f:d1,-59,1,46,-73,40,-1,12,0,0,1017,1007,82,GS,0-2,activity_still,New York,United States,-13,-13,-21,28,
1110,1,2021-02-06 15:06:19,2021-02-06 15:05:48,zeroltevzw-SM-G925V,607,6,Lewisohn,d8:c7:c8:42:7f:d1,-58,1,46,-73,40,-1,12,0,0,1017,1007,82,GS,0-2,activity_still,New York,United States,-14,-9,-22,28,
1111,1,2021-02-06 15:06:20,2021-02-06 15:05:48,zeroltevzw-SM-G925V,607,6,Lewisohn,d8:c7:c8:42:7f:d1,-55,1,46,-73,40,-1,12,0,0,1017,1007,82,GS,0-2,activity_still,New York,United States,-14,-22,-16,31,
1112,1,2021-02-06 15:06:21,2021-02-06 15:05:48,zeroltevzw-SM-G925V,607,6,Lewisohn,d8:c7:c8:42:7f:d1,-59,1,46,-73,40,-1,12,0,0,1017,1007,82,GS,0-2,activity_still,New York,United States,-9,-25,-16,31,
1113,1,2021-02-06 15:06:22,2021-02-06 15:05:48,zeroltevzw-SM-G925V,607,6,Lewisohn,d8:c7:c8:42:7f:d1,-58,1,46,-73,40,-1,12,0,0,1017,1007,82,GS,0-2,activity_still,New York,United States,-7,-24,-18,32,
1114,1,2021-02-06 15:06:23,2021-02-06 15:05:48,zeroltevzw-SM-G925V,607,6,Lewisohn,d8:c7:c8:42:7f:d1,-58,1,46,-73,40,-1,12,0,0,1017,1007,82,GS,0-2,activity_still,New York,United States,-10,-17,-18,27,
1115,1,2021-02-06 15:06:27,2021-02-06 15:05:48,zeroltevzw-SM-G925V,607,6,Lewisohn,d8:c7:c8:42:7f:d1,-61,1,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,9,0,-22,24,
1116,1,2021-02-06 15:06:28,2021-02-06 15:05:48,zeroltevzw-SM-G925V,607,6,Lewisohn,d8:c7:c8:42:7f:d1,-59,1,46,-73,40,-1,12,0,0,1017,1007,82,GS,0-2,activity_still,New York,United States,7,0,-22,23,
1117,1,2021-02-06 15:06:29,2021-02-06 15:05:48,zeroltevzw-SM-G925V,607,6,Lewisohn,d8:c7:c8:42:7f:d1,-62,1,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,6,0,-20,21,
1118,1,2021-02-06 15:06:30,2021-02-06 15:05:48,zeroltevzw-SM-G925V,607,6,Lewisohn,d8:c7:c8:42:7f:d1,-62,1,46,-73,40,-1,12,0,0,1017,1007,82,GS,0-2,activity_still,New York,United States,7,-2,-19,20,
1119,1,2021-02-06 15:07:53,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-50,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,27,21,-36,50,
1120,1,2021-02-06 15:07:54,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-50,0,46,-73,40,-1,12,0,0,1017,1007,82,GS,0-2,activity_still,New York,United States,27,22,-37,51,
1121,1,2021-02-06 15:07:55,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-51,0,46,-73,40,-1,12,0,0,1017,1007,82,GS,0-2,activity_still,New York,United States,22,26,-37,51,
1122,1,2021-02-06 15:07:56,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-50,0,46,-73,40,-1,12,0,0,1017,1007,82,GS,0-2,activity_still,New York,United States,24,26,-40,53,
1123,1,2021-02-06 15:07:57,2021-02-06 15:07:53,zeroltevzw-SM-G925V,607,6,Lewisohn,d8:c7:c8:42:7f:d1,-49,0,46,-73,40,-1,12,0,0,1017,1007,82,GS,0-2,activity_still,New York,United States,33,21,-43,59,
1124,1,2021-02-06 15:07:58,2021-02-06 15:07:53,zeroltevzw-SM-G925V,607,6,Lewisohn,d8:c7:c8:42:7f:d1,-51,0,46,-73,40,-1,12,0,0,1017,1007,82,GS,0-2,activity_still,New York,United States,37,20,-44,61,
1125,1,2021-02-06 15:07:59,2021-02-06 15:07:53,zeroltevzw-SM-G925V,607,6,Lewisohn,d8:c7:c8:42:7f:d1,-48,0,46,-73,40,-1,12,0,0,1017,1007,82,GS,0-2,activity_still,New York,United States,37,25,-41,61,
1126,1,2021-02-06 15:08:00,2021-02-06 15:07:53,zeroltevzw-SM-G925V,607,6,Lewisohn,d8:c7:c8:42:7f:d1,-48,0,46,-73,40,-1,12,0,0,1017,1007,82,GS,0-2,activity_still,New York,United States,35,28,-37,58,
1127,1,2021-02-06 15:08:01,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-47,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,17,13,-40,46,
1128,1,2021-02-06 15:08:02,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-51,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,31,-5,-34,46,
1129,1,2021-02-06 15:08:03,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-49,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,34,7,-32,47,
1130,1,2021-02-06 15:08:04,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-54,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,32,13,-28,45,
1131,1,2021-02-06 15:08:05,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-49,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,23,20,-30,43,
1132,1,2021-02-06 15:08:06,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-50,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,26,18,-25,40,
1133,1,2021-02-06 15:08:07,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-49,0,46,-73,40,-1,12,0,0,1017,1007,82,GS,0-2,activity_still,New York,United States,27,20,-26,43,
1134,1,2021-02-06 15:08:08,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-48,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,26,22,-28,45,
1135,1,2021-02-06 15:08:09,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-50,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,18,25,-30,44,
