Manufacturer,Frequency
TP-LINK TECHNOLOGIES CO.,LTD.,17
Tenda Technology Co.,Ltd.Dongguan branch,3
Ruckus Wireless,1
ASUSTek COMPUTER INC.,2
Sagemcom Broadband SAS,5
Aruba, a Hewlett Packard Enterprise Company,7
eero inc.,5
NETGEAR,10
Belkin International Inc.,2
Hon Hai Precision Ind. Co.,Ltd.,3
Apple, Inc.,1
